,edad,hombre,est_sup,colegio_priv,gran_empresa,segundo_trab,ingbrut,urbano,pobre
27856,23.0,1,0,1,0,0,2574.4166666666665,1,0
27861,22.0,0,0,0,0,0,3494.8333333333335,1,0
27862,45.0,0,0,0,0,1,5429.75,1,0
27866,49.0,0,1,0,0,0,5429.75,1,0
27869,25.0,0,1,0,0,0,1228.75,1,1
27870,44.0,1,0,0,1,1,6955.75,1,0
27871,41.0,0,0,0,0,1,6955.75,1,0
27872,21.0,0,0,0,0,0,6955.75,1,0
27873,17.0,0,0,0,0,0,6955.75,1,0
27875,38.0,0,0,0,0,0,1040.5833333333333,1,0
27880,22.0,0,0,1,0,1,5853.333333333333,1,0
27881,19.0,0,0,1,0,0,5853.333333333333,1,0
27882,59.0,1,0,0,0,0,1162.5833333333333,1,0
27883,50.0,0,0,0,0,0,1162.5833333333333,1,0
27886,40.0,0,0,0,0,1,1015.0,1,1
27888,40.0,1,1,0,0,0,2053.9166666666665,1,0
27889,40.0,1,1,1,1,0,8518.333333333334,1,0
27892,46.0,1,1,1,1,0,9245.666666666666,1,0
27894,66.0,1,0,0,1,0,9865.916666666666,1,0
27896,64.0,1,1,1,1,0,4555.583333333333,1,0
27897,43.0,1,1,1,1,0,12597.666666666666,1,0
27898,47.0,0,0,0,0,0,1269.4449055989583,0,1
27900,50.0,0,0,0,0,0,571.7224527994791,0,0
27901,42.0,1,0,0,0,0,1499.3125,0,0
27902,40.0,0,0,0,0,0,1499.3125,0,0
27904,43.0,1,0,1,0,0,1272.3333333333333,0,0
27905,41.0,0,0,0,0,1,1272.3333333333333,0,0
27906,15.0,1,0,0,0,0,1272.3333333333333,0,0
27907,36.0,1,0,0,0,0,1113.0625,0,0
27908,34.0,0,0,0,0,0,1113.0625,0,0
27909,39.0,0,0,0,0,0,1243.3741861979167,0,1
27910,62.0,1,0,0,0,1,173.83333333333334,0,1
27913,53.0,1,0,0,0,1,720.5833333333334,0,1
27916,43.0,0,0,0,0,1,4251.083333333333,1,0
27917,48.0,0,0,0,0,0,3280.1666666666665,1,0
27918,24.0,0,1,1,1,0,3280.1666666666665,1,0
27919,20.0,1,0,1,0,0,3280.1666666666665,1,0
27920,70.0,1,0,0,0,1,475.3333333333333,1,0
27921,37.0,0,1,0,0,0,475.3333333333333,1,0
27922,48.0,1,1,1,0,1,3668.9166666666665,1,0
27923,44.0,0,1,0,0,0,3668.9166666666665,1,0
27926,25.0,1,0,0,0,0,4998.75,1,0
27928,19.0,1,0,1,0,0,4998.75,1,0
27929,27.0,1,0,0,0,0,4998.75,1,0
27930,23.0,0,0,0,0,0,4998.75,1,0
27931,65.0,1,0,0,0,1,885.8333333333334,1,0
27934,32.0,0,0,0,0,0,557.4166666666666,1,1
27935,59.0,1,0,0,0,0,292.4166666666667,1,0
27936,60.0,0,0,0,0,0,292.4166666666667,1,0
27941,28.0,0,0,0,0,0,986.25,1,1
27942,37.0,1,0,0,0,0,986.25,1,1
27944,52.0,1,0,0,0,0,650.4166666666666,1,1
27952,54.0,0,0,0,0,1,1879.75,1,0
27955,53.0,0,0,1,1,0,3427.8333333333335,1,0
27957,49.0,1,0,0,0,0,8611.666666666666,1,0
27958,36.0,0,0,0,0,0,8611.666666666666,1,0
27959,25.0,1,0,1,0,0,8611.666666666666,1,0
27960,19.0,1,0,1,1,0,8611.666666666666,1,0
27963,23.0,0,0,0,0,0,8611.666666666666,1,0
27964,27.0,1,0,1,0,0,8611.666666666666,1,0
27966,53.0,0,0,1,0,0,984.5833333333334,1,0
27967,63.0,1,0,0,0,0,1438.1666666666667,1,0
27968,29.0,0,0,1,0,1,1438.1666666666667,1,0
27969,62.0,0,0,1,0,0,5411.25,1,0
27970,38.0,1,1,1,1,0,5411.25,1,0
27971,57.0,1,0,0,1,1,7740.25,1,0
27972,54.0,0,1,0,0,0,7740.25,1,0
27974,22.0,0,0,1,0,0,7740.25,1,0
27975,20.0,1,0,1,0,0,7740.25,1,0
27977,28.0,1,0,0,0,0,2529.0833333333335,0,0
27979,61.0,1,0,0,0,0,1011.6666666666666,0,1
27982,48.0,1,0,0,1,0,1315.1666666666667,0,1
27985,65.0,1,0,0,0,0,753.6666666666666,0,0
27987,58.0,1,0,0,0,0,1004.8333333333334,0,0
27989,53.0,1,0,0,0,0,368.1666666666667,0,0
27991,36.0,1,0,0,0,1,1134.4166666666667,0,0
27992,26.0,0,0,0,0,1,1134.4166666666667,0,0
27993,35.0,1,0,0,0,1,256.3333333333333,0,0
27996,14.0,1,0,0,0,0,180.66666666666666,0,0
27997,40.0,1,0,0,0,0,274.5,0,0
27998,38.0,0,0,0,0,0,274.5,0,0
28000,76.0,1,0,0,0,0,208.0,0,0
28002,67.0,1,0,0,0,0,469.5833333333333,0,0
28004,75.0,1,0,0,0,0,474.1666666666667,0,0
28006,31.0,0,0,0,0,1,693.3333333333334,0,0
28007,29.0,1,1,0,0,0,1051.2467447916667,0,1
28008,30.0,0,0,0,0,0,1051.2467447916667,0,1
28009,65.0,1,0,0,0,0,2723.0055338541665,0,0
28010,50.0,0,0,0,0,0,2723.0055338541665,0,0
28011,33.0,1,1,0,0,0,2723.0055338541665,0,0
28012,25.0,1,0,1,1,1,2723.0055338541665,0,0
28013,26.0,0,0,0,0,0,647.9134521484375,0,0
28014,52.0,1,0,0,0,0,7326.083333333333,0,0
28015,34.0,0,0,0,0,0,7326.083333333333,0,0
28016,28.0,1,0,0,0,0,7326.083333333333,0,0
28018,69.0,1,0,0,0,0,551.5833333333334,0,1
28019,31.0,1,1,0,0,1,551.5833333333334,0,1
28021,39.0,1,0,0,0,1,3045.869140625,0,0
28022,38.0,0,0,0,0,0,3045.869140625,0,0
28023,17.0,1,0,1,0,0,3045.869140625,0,0
28028,77.0,1,0,0,0,0,613.8333333333334,0,0
28031,59.0,1,0,0,0,0,638.1666666666666,0,1
28035,37.0,0,0,0,0,0,861.0,0,1
28039,41.0,1,0,0,0,0,810.3333333333334,0,1
28041,64.0,0,0,0,0,0,382.39404296875,0,1
28043,24.0,1,0,0,0,0,382.39404296875,0,1
28044,59.0,0,0,0,0,0,1815.4166666666667,1,0
28045,34.0,1,0,0,0,0,1815.4166666666667,1,0
28047,44.0,1,0,0,0,0,2495.6731770833335,1,0
28048,32.0,0,0,0,0,1,2495.6731770833335,1,0
28049,59.0,1,1,1,1,0,7700.75,1,0
28050,59.0,0,0,0,0,1,7700.75,1,0
28051,36.0,0,0,0,0,0,7700.75,1,0
28052,18.0,1,0,1,0,0,7700.75,1,0
28053,57.0,0,0,0,0,1,455.3333333333333,1,0
28054,25.0,1,0,1,0,0,455.3333333333333,1,0
28056,40.0,0,0,1,0,0,935.75,1,0
28058,70.0,1,0,0,0,0,3560.9599609375,1,0
28059,35.0,0,1,1,0,0,3560.9599609375,1,0
28060,31.0,1,0,0,0,1,1795.6666666666667,0,1
28061,31.0,0,0,0,0,0,1795.6666666666667,0,1
28062,42.0,1,0,0,0,1,1675.0833333333333,0,0
28063,17.0,0,0,0,0,0,1675.0833333333333,0,0
28064,14.0,1,0,0,0,0,1675.0833333333333,0,0
28066,78.0,1,0,0,0,0,1678.5694986979167,0,0
28067,35.0,0,0,0,0,1,1678.5694986979167,0,0
28068,22.0,0,1,0,0,0,1678.5694986979167,0,0
28069,28.0,1,1,0,0,0,1678.5694986979167,0,0
28070,55.0,1,0,0,0,0,2262.5677083333335,0,0
28071,55.0,0,1,1,0,0,2262.5677083333335,0,0
28072,25.0,1,0,1,0,0,2262.5677083333335,0,0
28073,23.0,0,0,0,0,0,2262.5677083333335,0,0
28075,42.0,1,0,0,1,0,1265.8194173177083,0,0
28076,40.0,0,0,0,0,0,1265.8194173177083,0,0
28077,22.0,1,0,1,0,0,1265.8194173177083,0,0
28078,21.0,1,1,1,0,0,1265.8194173177083,0,0
28079,20.0,0,0,0,0,0,1265.8194173177083,0,0
28080,49.0,1,0,0,0,1,805.97021484375,0,0
28083,45.0,0,0,0,0,0,1703.3333333333333,0,0
28084,27.0,1,0,0,0,1,1703.3333333333333,0,0
28085,60.0,0,0,0,0,1,990.6666666666666,0,0
28087,23.0,1,0,0,0,0,990.6666666666666,0,0
28088,33.0,0,0,0,0,1,1520.5833333333333,0,0
28091,30.0,0,0,0,0,0,2446.4166666666665,0,0
28092,23.0,1,0,1,0,0,2446.4166666666665,0,0
28093,21.0,1,0,0,0,0,2446.4166666666665,0,0
28095,68.0,1,0,0,0,0,1479.9666341145833,0,0
28096,68.0,1,0,0,0,0,1954.0833333333333,0,1
28097,68.0,1,0,0,0,0,1479.9666341145833,0,0
28098,68.0,1,0,0,0,0,1954.0833333333333,0,1
28099,68.0,1,0,1,0,0,1479.9666341145833,0,0
28100,68.0,1,0,1,0,0,1954.0833333333333,0,1
28101,68.0,1,0,1,0,0,1479.9666341145833,0,0
28102,68.0,1,0,1,0,0,1954.0833333333333,0,1
28103,29.0,1,0,0,0,0,1479.9666341145833,0,0
28104,29.0,1,0,0,0,0,1954.0833333333333,0,1
28105,29.0,1,0,0,0,0,1479.9666341145833,0,0
28106,29.0,1,0,0,0,0,1954.0833333333333,0,1
28107,29.0,1,0,1,0,0,1479.9666341145833,0,0
28108,29.0,1,0,1,0,0,1954.0833333333333,0,1
28109,29.0,1,0,1,0,0,1479.9666341145833,0,0
28110,29.0,1,0,1,0,0,1954.0833333333333,0,1
28115,55.0,0,1,0,0,1,1479.9666341145833,0,0
28116,55.0,0,1,0,0,1,1954.0833333333333,0,1
28117,55.0,0,1,0,1,0,1479.9666341145833,0,0
28118,55.0,0,1,0,1,0,1954.0833333333333,0,1
28123,27.0,0,1,0,0,1,1479.9666341145833,0,0
28124,27.0,0,1,0,0,1,1954.0833333333333,0,1
28125,27.0,0,1,0,1,0,1479.9666341145833,0,0
28126,27.0,0,1,0,1,0,1954.0833333333333,0,1
28131,57.0,0,0,0,0,1,1795.3333333333333,0,0
28133,43.0,0,0,0,0,0,2021.8333333333333,0,0
28134,22.0,0,0,1,1,0,2021.8333333333333,0,0
28135,78.0,1,0,0,0,0,68.5,0,1
28138,41.0,1,0,1,0,0,8.166666666666666,0,1
28139,44.0,0,0,0,0,0,8.166666666666666,0,1
28140,20.0,0,0,0,0,0,8.166666666666666,0,1
28141,15.0,0,0,0,0,0,8.166666666666666,0,1
28142,88.0,1,0,0,0,0,304.8611246744792,0,0
28144,56.0,0,0,0,0,1,304.8611246744792,0,0
28145,43.0,1,0,0,0,1,335.0,0,0
28146,33.0,0,0,0,0,1,335.0,0,0
28148,60.0,1,0,0,0,0,1113.2777506510417,0,0
28149,70.0,1,0,0,0,1,619.5833333333334,0,0
28151,41.0,0,0,0,0,1,619.5833333333334,0,0
28153,40.0,0,0,0,0,1,387.1309407552083,0,0
28154,15.0,0,0,0,0,1,387.1309407552083,0,0
28155,60.0,1,0,0,0,0,310.9166666666667,0,0
28156,56.0,0,0,0,0,0,310.9166666666667,0,0
28157,58.0,1,0,0,0,0,425.9166666666667,0,0
28158,58.0,0,0,0,0,0,425.9166666666667,0,0
28159,78.0,1,0,0,0,0,209.83333333333334,0,0
28160,52.0,1,0,0,0,1,1762.0833333333333,0,0
28161,49.0,0,0,0,0,1,1762.0833333333333,0,0
28163,56.0,0,0,0,0,1,319.25,0,0
28164,55.0,1,0,0,0,0,2490.75,0,0
28165,53.0,0,1,0,1,1,2490.75,0,0
28166,78.0,1,0,0,0,0,209.91666666666666,0,0
28167,65.0,0,0,0,0,0,209.91666666666666,0,0
28168,44.0,1,0,0,0,1,1395.8333333333333,0,0
28169,34.0,0,0,0,0,0,1395.8333333333333,0,0
28171,38.0,1,0,0,0,0,2214.3333333333335,1,0
28173,55.0,1,0,0,0,0,637.6666666666666,1,0
28174,50.0,0,0,0,0,0,637.6666666666666,1,0
28176,55.0,1,0,0,0,0,623.5833333333334,1,1
28179,32.0,1,0,0,0,0,1030.0,1,1
28181,53.0,1,0,0,0,0,3001.9166666666665,1,0
28182,55.0,0,0,0,0,1,3001.9166666666665,1,0
28183,29.0,1,0,1,0,1,3001.9166666666665,1,0
28184,24.0,0,0,0,0,0,3001.9166666666665,1,0
28185,57.0,1,0,0,0,1,1070.6666666666667,1,0
28186,61.0,0,0,0,0,1,1070.6666666666667,1,0
28187,20.0,1,0,0,0,0,1070.6666666666667,1,0
28188,44.0,0,0,0,1,0,5365.416666666667,1,0
28189,20.0,1,0,0,0,0,5365.416666666667,1,0
28190,21.0,0,0,1,1,0,5365.416666666667,1,0
28191,28.0,1,0,0,1,0,5365.416666666667,1,0
28192,17.0,0,0,0,0,0,5365.416666666667,1,0
28194,29.0,0,1,1,0,0,1673.1666666666667,1,0
28195,27.0,1,1,0,1,1,1673.1666666666667,1,0
28196,38.0,1,0,0,1,0,3317.0,1,0
28197,39.0,0,0,1,0,1,3317.0,1,0
28199,43.0,1,0,0,0,0,2820.0833333333335,1,0
28200,42.0,0,1,1,0,0,2820.0833333333335,1,0
28201,19.0,1,0,0,0,0,2820.0833333333335,1,0
28203,74.0,1,0,0,0,0,1228.25,1,0
28205,67.0,1,0,0,0,0,922.4166666666666,1,0
28206,64.0,0,0,0,0,0,922.4166666666666,1,0
28207,46.0,0,0,0,0,0,824.0833333333334,1,0
28208,21.0,1,0,1,0,0,824.0833333333334,1,0
28209,55.0,1,1,1,1,1,5070.666666666667,1,0
28210,47.0,0,0,0,0,0,5070.666666666667,1,0
28211,24.0,0,0,0,0,0,5070.666666666667,1,0
28212,63.0,1,1,0,0,1,6354.333333333333,1,0
28213,51.0,0,0,0,0,0,6354.333333333333,1,0
28214,27.0,1,1,1,1,0,6354.333333333333,1,0
28215,31.0,1,1,0,0,1,6354.333333333333,1,0
28217,48.0,1,0,0,0,0,4612.333333333333,1,0
28218,44.0,0,0,0,0,0,4612.333333333333,1,0
28219,25.0,1,0,1,0,0,4612.333333333333,1,0
28220,22.0,1,0,1,0,0,4612.333333333333,1,0
28221,62.0,1,0,0,0,1,1662.3333333333333,1,0
28223,19.0,0,1,0,0,1,1662.3333333333333,1,0
28224,41.0,0,1,1,1,0,5238.357421875,1,0
28225,73.0,0,0,0,0,0,5238.357421875,1,0
28226,35.0,1,1,0,1,1,5238.357421875,1,0
